3653.0,9.53,272.69,388.7,89.65,48.0,21.0,105.32,22.03,375.37,63.6,56.7,99.7,0.654,4.71,295.5
3653.0,12.7,202.15,308.8,97.88,54.0,35.0,105.22,35.41,473.78,63.6,56.7,99.2,0.654,5.73,255.68
3653.0,14.29,165.85,270.5,79.95,52.0,34.0,105.12,33.83,488.09,63.6,56.7,98.9,0.654,5.78,233.96
3653.0,15.88,138.87,239.3,80.73,51.0,38.0,105.02,37.26,492.51,63.6,56.7,100.8,0.654,5.76,223.11
3653.0,14.29,149.89,251.3,73.31,50.0,63.85454545454545,100.21,31.99,459.31,63.6,56.7,97.0,0.654,5.25,199.63
3653.0,11.11,191.41,296.8,76.57,50.0,63.85454545454545,102.38,24.8,355.02,63.6,56.7,98.0,0.654,4.25,245.68
3650.0,9.53,325.84,452.8,97.79,66.0,95.5,105.49,40.51,402.79,63.6,55.4,85.5,0.6822,5.17,282.24
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3650.0,12.7,299.56,437.3,103.11,74.0,103.6,105.47,51.38,654.56,63.6,55.4,93.8,0.6822,8.4,280.56
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3650.0,14.29,280.33,426.2,107.06,75.0,106.8,105.42,52.76,742.11,63.6,55.4,92.3,0.6822,9.64,292.24
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3650.0,15.87,256.21,414.0,109.78,75.0,110.2,105.36,55.51,846.82,63.6,55.4,87.7,0.6822,10.93,284.08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3650.0,14.29,271.47,414.8,108.63,74.0,63.85454545454545,105.35,53.13,720.27,63.6,55.4,96.3,0.6822,9.33,289.18
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3650.0,11.11,297.68,424.5,100.13,70.0,63.85454545454545,105.37,44.88,497.16,63.6,55.4,88.2,0.6822,6.42,287.52
